clean_id,role,candidate_id,image_id,source_name,clean_image_path,sha256,dhash64,orientation,clean_background_score,white_fraction,border_white_fraction,nonwhite_fraction,strict_green_fraction,green_to_nonwhite_ratio,green_components,green_bbox_fraction,green_bbox_touches_border,proposed_split,pilot80,human_keep,human_reason
clean_001,locked14,src_0993,akd_0354,leaf3 (52).jpg,D:\kp\数据集图片\images\leaf3 (52).jpg,ab6501f421bebb4c82459b68390471eab52a5be931ec18a9c7fd7757aebe862e,0028184642808000,landscape,8.93804,0.9690202437106918,1.0,0.029849646226415,0.0173078812893081,0.579835390946502,5.0,0.2646668632075472,0.0,development,0,,
clean_002,smoke6,src_0989,akd_0350,leaf3 (49).jpg,D:\kp\数据集图片\images\leaf3 (49).jpg,4096b98b89968b0cb18f696f418eaa451723064588c9493779c7be4c8c2cf504,00301f6340808000,landscape,8.93409,0.967044890873016,1.0,0.0315393518518518,0.0182395006613756,0.5783093053735255,6.0,0.4525462962962963,0.0,development,0,,
clean_003,locked14,src_0996,akd_0357,leaf3 (56).jpg,D:\kp\数据集图片\images\leaf3 (56).jpg,4d2188f9547201564a855285adbdbb464067748b83af65fa28c6defd543e779d,0004013060408000,landscape,8.927007,0.9635033700980392,1.0,0.0351753982843137,0.0219630821078431,0.6243875884594446,3.0,0.4013001685049019,0.0,development,0,,
clean_004,locked14,src_0995,akd_0356,leaf3 (55).jpg,D:\kp\数据集图片\images\leaf3 (55).jpg,eaf25b66af347675a23f8469f5e71686a67c92344a1f5be9145db28fae9a206e,00331d2040408080,landscape,8.924185,0.962092391304348,1.0,0.0366677989130434,0.0226307744565217,0.6171838814265864,1.0,0.1672044836956521,0.0,development,0,,
clean_005,locked14,src_0990,akd_0351,leaf3 (5).jpg,D:\kp\数据集图片\images\leaf3 (5).jpg,670ba0c968c9053a6cde853ecfb97e1dc4ef177d931f8dba5b598ab0ee0f7816,84710d2040404040,landscape,8.918168,0.959084024234694,1.0,0.0394710618622448,0.0283502072704081,0.7182529664226206,6.0,0.5432477678571429,0.0,development,0,,
clean_006,locked14,src_0974,akd_0335,leaf3 (17).jpg,D:\kp\数据集图片\images\leaf3 (17).jpg,9722a71d2c1117c4bd7e67953e8bb8376c412404e5575ca83b8c40804b47814a,00c0612719300000,landscape,8.916142,0.9580712256493508,1.0,0.0405083198051948,0.0298168628246753,0.7360676268002504,4.0,0.3754058441558441,0.0,development,0,,
clean_007,locked14,src_0945,akd_0306,leaf3 (10).jpg,D:\kp\数据集图片\images\leaf3 (10).jpg,5adf6e055073c44079b95ca625dc7c86f24d0b64eab7c77e374ce790ccdd4975,080c080808080406,portrait,8.90465,0.9523251488095238,1.0,0.0452566964285714,0.0294828869047619,0.6514591039868475,3.0,0.2074776785714285,0.0,development,0,,
clean_008,locked14,src_0977,akd_0338,leaf3 (2).jpg,D:\kp\数据集图片\images\leaf3 (2).jpg,6a6a260bcb6bbd25d2b91c2dcde7cea738de1f9c5c33f6ff6c08d610f27028bf,000c254180000000,landscape,8.899044,0.9495218211206896,1.0,0.0478347252155172,0.0315867456896551,0.6603308694121788,3.0,0.2604054418103448,0.0,development,0,,
clean_009,locked14,src_0640,akd_0001,1-1.jpg,D:\kp\数据集图片\images\1-1.jpg,e5b77575e656a53414df59351d3069c8f22bf7dcaa816c3d7b84f271712be361,018630203010180c,portrait,8.884607,0.9425538059338522,0.9997997329773032,0.0558426556420233,0.0455070525291828,0.8149156232988568,4.0,0.7322774805447471,0.0,development,0,,
clean_010,locked14,src_0972,akd_0333,leaf3 (15).jpg,D:\kp\数据集图片\images\leaf3 (15).jpg,67b1dadb93f1c8e710bc95968e7f33c9ec5dbc4ba50d5c78462f752e80f7c07c,0c040c0818103010,portrait,8.884312,0.9421561104910714,1.0,0.0558210100446428,0.0446254185267857,0.7994376757263355,4.0,0.3679547991071428,0.0,development,0,,
